Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Request_Time,Request_Date,Request_Day,Request_Time_of_the_day,Drop_timestamp,Drop_Time,Drop_Date,Drop_Day
1,Airport,285,Trip Completed,2016-07-11 00:20:00,00:20:00,2016-07-11,Monday,Late Night,2016-07-11 00:51:00,00:51:00,2016-07-11,Monday
2,Airport,,No Cars Available,2016-07-11 00:23:00,00:23:00,2016-07-11,Monday,Late Night,,,,
3,Airport,80,Trip Completed,2016-07-11 00:24:00,00:24:00,2016-07-11,Monday,Late Night,2016-07-11 01:31:00,01:31:00,2016-07-11,Monday
4,City,,No Cars Available,2016-07-11 00:37:00,00:37:00,2016-07-11,Monday,Late Night,,,,
5,Airport,264,Trip Completed,2016-07-11 00:36:00,00:36:00,2016-07-11,Monday,Late Night,2016-07-11 01:35:00,01:35:00,2016-07-11,Monday
6,City,,No Cars Available,2016-07-11 00:36:00,00:36:00,2016-07-11,Monday,Late Night,,,,
7,Airport,,No Cars Available,2016-07-11 00:30:00,00:30:00,2016-07-11,Monday,Late Night,,,,
8,City,,No Cars Available,2016-07-11 00:40:00,00:40:00,2016-07-11,Monday,Late Night,,,,
9,Airport,235,Trip Completed,2016-07-11 00:45:00,00:45:00,2016-07-11,Monday,Late Night,2016-07-11 02:00:00,02:00:00,2016-07-11,Monday
10,City,228,Trip Completed,2016-07-11 00:54:00,00:54:00,2016-07-11,Monday,Late Night,2016-07-11 01:59:00,01:59:00,2016-07-11,Monday
11,City,198,Trip Completed,2016-07-11 01:00:00,01:00:00,2016-07-11,Monday,MidNight Hours,2016-07-11 01:53:00,01:53:00,2016-07-11,Monday
12,City,,No Cars Available,2016-07-11 01:08:00,01:08:00,2016-07-11,Monday,MidNight Hours,,,,
13,City,119,Trip Completed,2016-07-11 01:08:00,01:08:00,2016-07-11,Monday,MidNight Hours,2016-07-11 01:58:00,01:58:00,2016-07-11,Monday
14,Airport,,No Cars Available,2016-07-11 01:10:00,01:10:00,2016-07-11,Monday,MidNight Hours,,,,
15,City,,No Cars Available,2016-07-11 01:15:00,01:15:00,2016-07-11,Monday,MidNight Hours,,,,
16,Airport,,No Cars Available,2016-07-11 01:09:00,01:09:00,2016-07-11,Monday,MidNight Hours,,,,
17,Airport,,No Cars Available,2016-07-11 01:16:00,01:16:00,2016-07-11,Monday,MidNight Hours,,,,
18,City,201,Cancelled,2016-07-11 01:16:00,01:16:00,2016-07-11,Monday,MidNight Hours,,,,
19,City,,No Cars Available,2016-07-11 01:14:00,01:14:00,2016-07-11,Monday,MidNight Hours,,,,
20,Airport,,No Cars Available,2016-07-11 01:23:00,01:23:00,2016-07-11,Monday,MidNight Hours,,,,
21,Airport,194,Trip Completed,2016-07-11 01:29:00,01:29:00,2016-07-11,Monday,MidNight Hours,2016-07-11 02:05:00,02:05:00,2016-07-11,Monday
22,Airport,,No Cars Available,2016-07-11 01:40:00,01:40:00,2016-07-11,Monday,MidNight Hours,,,,
23,City,,No Cars Available,2016-07-11 01:38:00,01:38:00,2016-07-11,Monday,MidNight Hours,,,,
24,Airport,,No Cars Available,2016-07-11 01:48:00,01:48:00,2016-07-11,Monday,MidNight Hours,,,,
25,Airport,,No Cars Available,2016-07-11 01:45:00,01:45:00,2016-07-11,Monday,MidNight Hours,,,,
26,Airport,,No Cars Available,2016-07-11 01:49:00,01:49:00,2016-07-11,Monday,MidNight Hours,,,,
27,Airport,,No Cars Available,2016-07-11 01:49:00,01:49:00,2016-07-11,Monday,MidNight Hours,,,,
28,City,,No Cars Available,2016-07-11 02:02:00,02:02:00,2016-07-11,Monday,MidNight Hours,,,,
29,City,,No Cars Available,2016-07-11 01:55:00,01:55:00,2016-07-11,Monday,MidNight Hours,,,,
30,Airport,297,Trip Completed,2016-07-11 02:04:00,02:04:00,2016-07-11,Monday,MidNight Hours,2016-07-11 02:37:00,02:37:00,2016-07-11,Monday
31,City,,No Cars Available,2016-07-11 02:10:00,02:10:00,2016-07-11,Monday,MidNight Hours,,,,
32,Airport,,No Cars Available,2016-07-11 02:15:00,02:15:00,2016-07-11,Monday,MidNight Hours,,,,
33,Airport,170,Trip Completed,2016-07-11 02:17:00,02:17:00,2016-07-11,Monday,MidNight Hours,2016-07-11 03:31:00,03:31:00,2016-07-11,Monday
